Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Earth,5.2,2015,R,Documentary,Marco De Angelis,Marco De AngelisAntonio Di Trapani,66.0,116.3
A Quiet Place: Day One,7.1,2024,R,Drama,Michael Sarnoski,Michael SarnoskiJohn KrasinskiBryan Woods,66.9,116.3
K-19: The Widowmaker,6.7,2002,PG-13,Drama,Kathryn Bigelow,Harrison FordSam SpruellPeter Stebbings,58.0,138.0
The Reflection of Kripto,8.5,2016,R,Sci-Fi,Pauli Janhunen Calderón,Emilio Janhunen CalderónPauli Janhunen CalderónDavid Anghel,66.0,116.3
The Boxtrolls,6.8,2014,PG,Animation,Graham Annable,Ben Kingsley,61.0,96.0
Dreamer,6.8,2005,PG,Drama,John Gatins,Kurt Russell,59.0,106.0
The Invisible Woman,6.1,2013,R,Biography,Ralph Fiennes,Ralph FiennesFelicity JonesKristin Scott Thomas,75.0,111.0
Te Ata,7.4,2016,PG,Biography,Nathan Frankowski,Esther LuttrellJeannie Barbour,51.0,105.0
Renfield,6.4,2023,R,Action,Chris McKay,Nicholas HoultNicolas CageAwkwafina,53.0,93.0
The Great Debaters,7.5,2007,PG-13,Biography,Denzel Washington,Robert EiseleJeffrey PorroTony Scherman,65.0,126.0
Islamic Art: Mirror of the Invisible World,6.4,2011,PG,Documentary,Robert H. Gardner,Mohammad Al-AsadSheila S. BlairJonathan M. Bloom,66.0,90.0
Toyland,6.3,2010,G,Documentary,Ken Sons,Christine AlexanderVincent AlvaAndrew Bailes,66.0,68.0
Raiders of the Lost Ark,8.4,1981,PG,Action,Steven Spielberg,Harrison FordKaren AllenPaul Freeman,86.0,115.0
Good Will Hunting,8.3,1997,R,Drama,Gus Van Sant,Robin WilliamsMatt DamonBen Affleck,71.0,126.0
Planes: Fire & Rescue,5.9,2014,PG,Animation,Bobs Gannaway,Dane Cook,48.0,83.0
You Can't Run Forever,4.4,2024,R,Drama,Michelle Schumacher,J.K. SimmonsFernanda UrrejolaAllen Leech,66.9,102.0
The Dead Link,7.2,2002,R,Sci-Fi,Ben Juhl,Jose RoseteBen JuhlConnie Padilla,66.0,116.3
The Great Muppet Caper,7.1,1981,G,Adventure,Jim Henson,Tom PatchettJay TarsesJerry Juhl,70.0,97.0
The Room,6.0,2019,Not Rated,Drama,Christian Volckman,Christian VolckmanEric ForestierGaia Guasti,66.0,100.0
Let Him Have It,7.2,1991,R,Crime,Peter Medak,Tom CourtenayChristopher EcclestonEileen Atkins,66.0,115.0
Hook,6.8,1991,PG,Adventure,Steven Spielberg,J.M. BarrieJames V. HartNick Castle,52.0,142.0
Deadpool 2,7.6,2018,R,Action,David Leitch,Rhett ReesePaul WernickRyan Reynolds,66.0,119.0
Titan A.E.,6.6,2000,PG,Animation,Don Bluth,Matt Damon,48.0,94.0
Laapataa Ladies,8.5,2023,R,Comedy,Kiran Rao,Nitanshi GoelPratibha RantaSparsh Shrivastava,66.9,116.3
I Accuse,7.0,1938,R,Drama,Abel Gance,Victor FrancenLine NoroSylvie Gance,66.0,116.3
Zootopia,8.0,2016,PG,Animation,Byron Howard,Ginnifer Goodwin,78.0,108.0
Luv Ki Arrange Marriage,4.7,2024,PG,Comedy,Ishrat R. Khan,Ravi Chauhan,57.1,100.0
Black Hole Alien Brain Zombies!,6.4,2021,R,Sci-Fi,Metatron,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
El Conde,6.4,2023,R,Comedy,Pablo Larraín,Jaime VadellGloria MünchmeyerAlfredo Castro,72.0,110.0
The Chronicles of Narnia: Prince Caspian,6.5,2008,PG,Action,Andrew Adamson,Ben Barnes,62.0,150.0
Coco Before Chanel,6.7,2009,PG-13,Biography,Anne Fontaine,Audrey TautouBenoît PoelvoordeAlessandro Nivola,65.0,105.0
"Honey, I Blew Up the Kid",4.9,1992,PG,Adventure,Randal Kleiser,Rick Moranis,50.0,89.0
Mary Queen of Scots,6.3,2018,R,Biography,Josie Rourke,Saoirse RonanMargot RobbieJack Lowden,60.0,124.0
The Biggest Little Farm,8.0,2018,PG,Documentary,John Chester,John Chester,73.0,91.0
Lost in Space,5.2,1998,PG-13,Action,Stephen Hopkins,Gary Oldman,43.0,130.0
Kamen Rider Super-1: The Movie,5.5,1981,R,Action,Hiroshi Miyauchi,Hiroshi MiyauchiShunsuke TakasugiNobuo Tsukamoto,66.0,116.3
The Long Riders,6.9,1980,R,Biography,Walter Hill,Bill BrydenSteven SmithStacy Keach,68.0,100.0
Mobile Suit Gundam F91,6.4,1991,PG-13,Animation,Yoshiyuki Tomino,Yoshiyuki TominoHajime YatateTsunehisa Itô,66.0,120.0
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson,49.0,110.0
Goodfellas,8.7,1990,R,Biography,Martin Scorsese,Nicholas PileggiMartin Scorsese,92.0,145.0
The NeverEnding Story II: The Next Chapter,5.1,1990,PG,Adventure,George Miller,Jonathan Brandis,30.0,89.0
Blister,6.5,2000,R,Action,Taikan Suga,Ken AyugaiDennis GunnPatrick Harlan,66.0,116.3
Experimenter,6.6,2015,PG-13,Biography,Michael Almereyda,Peter SarsgaardWinona RyderJim Gaffigan,81.0,98.0
Thomas and the Magic Railroad,4.2,2000,G,Adventure,Britt Allcroft,Alec Baldwin,19.0,85.0
Pete's Dragon,6.3,1977,G,Animation,Don Chaffey,Sean Marshall,46.0,128.0
Orion and the Dark,6.3,2024,Other,Animation,Sean Charmatz,Charlie KaufmanEmma YarlettLloyd Taylor,72.0,93.0
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52.0,126.0
2001: A Space Odyssey,8.3,1968,G,Adventure,Stanley Kubrick,Stanley KubrickArthur C. Clarke,84.0,149.0
Uncle Tom,8.2,2020,G,Documentary,Justin Malone,Brandon TatumCarol SwainChad Jackson,66.0,106.0
Glass,6.6,2019,PG-13,Drama,M. Night Shyamalan,M. Night Shyamalan,43.0,129.0
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95.0
The Last Party,6.6,1993,R,Documentary,Mark Benjamin,Robert Downey Jr.Donovan Leitch Jr.Marc Levin,66.0,96.0
A Cinderella Story: Starstruck,5.5,2021,PG,Comedy,Charlotte Colbert,Bailee Madison,57.1,100.0
"Wax, or the Discovery of Television Among the Bees",7.0,1991,R,Documentary,David Blair,Father BessarionDavid BlairWilliam S. Burroughs,66.0,116.3
The Fabulous Baron Munchausen,7.7,1962,Not Rated,Animation,Karel Zeman,Jirí BrdeckaGottfried August BürgerJosef Kainar,66.0,83.0
Night at the Museum,6.5,2006,PG,Adventure,Shawn Levy,Ben Stiller,48.0,108.0
Star Wars: Episode VI - Return of the Jedi,8.3,1983,PG,Action,Richard Marquand,Lawrence KasdanGeorge Lucas,58.0,131.0
Monolog,6.8,2010,R,Drama,Eray Dinç,Sertan ArslanTunca ArslanEnis Aybar,66.0,116.3
Beverly Hills Cop,7.4,1984,R,Action,Martin Brest,Daniel Petrie Jr.Danilo Bach,66.0,105.0
They Cloned Tyrone,6.6,2023,R,Comedy,Juel Taylor,John BoyegaJamie FoxxTeyonah Parris,74.0,122.0
Rudy,7.5,1993,PG,Biography,David Anspaugh,Sean AstinJon FavreauNed Beatty,71.0,114.0
Another Country,7.0,1984,PG,Biography,Marek Kanievska,Julian Mitchell,66.0,90.0
El Fin,6.9,2011,Not Rated,Comedy,Miguel Alejandro Gomez,Luis Carlos BogantesKurt DyerÁlvaro Marenco,66.0,85.0
Le coup du singe,5.4,1979,R,Sci-Fi,Ode Bitton,Ode BittonJean-Pierre Kalfon,66.0,116.3
The Other Side of Heaven,6.2,2001,PG,Adventure,Mitch Davis,Christopher GorhamAnne HathawayJoe Folau,38.0,113.0
Ready or Not,6.9,2019,R,Action,Matt Bettinelli-Olpin,Samara WeavingAdam BrodyMark O'Brien,64.0,95.0
Honor Flight,8.4,2012,PG,Documentary,Dan Hayes,Bert BrachEarl BrussJoe Dean,61.0,82.0
The Motorcycle Diaries,7.7,2004,R,Adventure,Walter Salles,Gael García BernalRodrigo de la SernaMía Maestro,75.0,126.0
The Nelson Affair,6.4,1973,PG,Drama,James Cellan Jones,Terence Rattigan,66.0,118.0
The Legend of Catclaws Mountain,5.1,2024,PG,Family,Ritchie Greer,Hayden Hishaw,57.1,104.0
A Nashville Wish,5.3,2024,PG,Drama,Demetrius Navarro,Lee Greenwood,57.1,102.0
A United Kingdom,6.9,2016,PG-13,Biography,Amma Asante,David OyelowoRosamund PikeTom Felton,65.0,111.0
The Emperor's New Groove,7.4,2000,G,Animation,Mark Dindal,David Spade,70.0,78.0
Fly Away Home,6.9,1996,PG,Adventure,Carroll Ballard,Jeff Daniels,77.0,107.0
Kingdom,6.7,2019,R,Action,Shinsuke Sato,Kento YamazakiRyô YoshizawaMasami Nagasawa,62.0,134.0
Becoming Jane,7.0,2007,PG,Biography,Julian Jarrold,Anne HathawayJames McAvoyJulie Walters,55.0,120.0
The Family Plan,6.3,2023,PG-13,Action,Simon Cellan Jones,Mark WahlbergMichelle MonaghanCiarán Hinds,39.0,118.0
Harry Potter and the Prisoner of Azkaban,7.9,2004,PG,Adventure,Alfonso Cuarón,Daniel RadcliffeEmma WatsonRupert Grint,82.0,142.0
It Came from Yesterday,5.6,2016,R,Adventure,Jeff Waltrowski,Jeff Waltrowski,66.0,116.3
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton,88.0,88.0
The Story of Adele H,7.2,1975,PG,Biography,François Truffaut,François TruffautJean GruaultSuzanne Schiffman,66.0,96.0
Abenteuer mit Blasius,5.0,1975,R,Comedy,Egon Schlegel,Werner BenderGerhard Holtz-BaumertMilan Pavlík,66.0,116.3
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Animation,Jeff Rowe,Micah Abbey,74.0,99.0
A Mighty Heart,6.6,2007,R,Biography,Michael Winterbottom,Angelina JolieDan FuttermanIrrfan Khan,74.0,108.0
The Leopard,7.9,1963,PG,Drama,Luchino Visconti,Giuseppe Tomasi di LampedusaSuso Cecchi D'AmicoPasquale Festa Campanile,100.0,186.0
Rescue Dawn,7.3,2006,PG-13,Adventure,Werner Herzog,Christian BaleSteve ZahnJeremy Davies,77.0,125.0
Vivo,6.7,2021,PG,Animation,Kirk DeMicco,Lin-Manuel Miranda,66.0,95.0
Elage,7.3,1989,R,Sci-Fi,Jahangir Zeynally,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Megalopolis,7.0,2024,R,Drama,Francis Ford Coppola,Adam DriverGiancarlo EspositoNathalie Emmanuel,58.0,116.3
Futurus - Robot contro uomini,8.5,2019,R,Sci-Fi,Umberto Baccolo,Umberto BaccoloLuigi Zanuso,66.0,116.3
Guillermo del Toro's Pinocchio,7.6,2022,PG,Animation,Guillermo del Toro,Ewan McGregor,79.0,117.0
Die Wahrheit über die Stasi,7.8,1992,R,Comedy,Alexander Zahn,Wolfgang DahlThomas DorlDirk Feinermann,66.0,116.3
American Symphony,6.8,2023,PG-13,Documentary,Matthew Heineman,Jon BatisteLindsey ByrnesJonathan Dinklage,76.0,104.0
Once Were Brothers,7.4,2019,R,Documentary,Daniel Roher,The BandRobbie RobertsonBruce Springsteen,61.0,100.0
Entropy,6.1,2017,R,Drama,Gabriel Anderson,Nicole HarbeckAnny Elizabeth RosarioAnthony George,66.0,116.3
The Aristocats,7.1,1970,G,Animation,Wolfgang Reitherman,Phil Harris,66.0,78.0
A Week Away,5.8,2021,Other,Drama,Roman White,Kevin Quinn,32.0,94.0
42,7.5,2013,PG-13,Biography,Brian Helgeland,Chadwick BosemanT.R. KnightHarrison Ford,62.0,128.0
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki,91.0,124.0
My Father and My Son,8.2,2005,Not Rated,Drama,Çagan Irmak,Çetin Tekindor,57.1,112.0
The Addams Family,5.8,2019,PG,Animation,Greg Tiernan,Oscar Isaac,46.0,86.0
Seven Years in Tibet,7.1,1997,PG-13,Adventure,Jean-Jacques Annaud,Brad PittDavid ThewlisBD Wong,55.0,136.0
Una magia saracena,7.1,2015,R,History,Vincenzo Stango,Simone BobiniAndrea BonellaSimone Castano,66.0,116.3
Navalny,7.7,2022,R,Documentary,Daniel Roher,Alexei NavalnyYulia NavalnayaChristo Grozev,82.0,99.0
Circle of Lerel,6.4,2019,R,Comedy,Piet W. Mundry,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Stan & Ollie,7.2,2018,PG,Biography,Jon S. Baird,Steve CooganJohn C. ReillyShirley Henderson,75.0,98.0
Encanto,7.2,2021,PG,Animation,Jared Bush,Charise Castro SmithJared BushByron Howard,75.0,102.0
Underdog,4.8,2007,PG,Action,Frederik Du Chau,Peter Dinklage,37.0,84.0
Hercules,7.3,1997,G,Animation,Ron Clements,Ron ClementsJohn MuskerDon McEnery,74.0,93.0
El monstruo de los volcanes,5.2,1963,R,Horror,Jaime Salvador,Federico CurielAlfredo Ruanova,66.0,116.3
Goodbye Christopher Robin,7.1,2017,PG,Biography,Simon Curtis,Domhnall Gleeson,54.0,107.0
Adventures of an Earthling,7.6,2010,Not Rated,Documentary,Mishara Canino-Hussung,Daniel RadcliffeEmma WatsonRupert Grint,66.0,82.0
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaughey,49.0,110.0
The Adventures of Tintin,7.3,2011,PG,Animation,Steven Spielberg,Jamie Bell,68.0,107.0
SpaceCamp,5.7,1986,PG,Adventure,Harry Winer,Kate Capshaw,40.0,107.0
"Red, White & Royal Blue",7.0,2023,R,Comedy,Matthew López,Taylor Zakhar PerezNicholas GalitzineUma Thurman,62.0,118.0
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman,66.9,116.3
Meg 2: The Trench,5.0,2023,PG-13,Action,Ben Wheatley,Jon HoeberErich HoeberDean Georgaris,40.0,116.0
1776,7.6,1972,PG,Drama,Peter H. Hunt,William Daniels,57.1,141.0
MaXXXine,7.1,2024,R,Crime,Ti West,Ti West,66.9,103.0
Topsy-Turvy,7.3,1999,R,Biography,Mike Leigh,Jim BroadbentAllan CordunerDexter Fletcher,90.0,160.0
The Lego Ninjago Movie,6.0,2017,PG,Animation,Charlie Bean,Bob LoganPaul FisherWilliam Wheeler,55.0,101.0
Across the Universe,7.3,2007,PG-13,Drama,Julie Taymor,Dick ClementIan La FrenaisJulie Taymor,56.0,133.0
Chronoslexia,5.4,2011,R,Sci-Fi,Trevor Fleming,Angie WallerTrevor FlemingIan Hayles,66.0,116.3
The Man with the Iron Heart,6.4,2017,R,Action,Cédric Jimenez,Laurent BinetDavid FarrAudrey Diwan,66.0,120.0
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,74.0,102.0
Tracks,7.1,2013,PG-13,Adventure,John Curran,Mia WasikowskaAdam DriverLily Pearl,78.0,112.0
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67.0,117.0
Boom Bust Boom,7.1,2015,G,Documentary,Bill Jones,Terry JonesGeorge MagnusRobert Shiller,68.0,70.0
The Meg,5.7,2018,PG-13,Action,Jon Turteltaub,Dean GeorgarisJon HoeberErich Hoeber,46.0,113.0
Mary Shelley,6.4,2017,PG-13,Biography,Haifaa Al-Mansour,Elle FanningBel PowleyOwen Richards,49.0,120.0
The Gospel of John,7.8,2003,PG-13,Biography,Philip Saville,Henry Ian CusickDaniel KashChristopher Plummer,52.0,180.0
The Prince and Me,5.9,2004,PG,Comedy,Martha Coolidge,Julia Stiles,47.0,111.0
Star Wars: The Dark Reckoning,6.0,2017,R,Sci-Fi,Mark Newton,Brian WoodwardAlexander DoddySarah Greiner-Dudaniec,66.0,116.3
The Best of the Lads 2021,7.3,2021,R,Action,Jack Vickers,Jacob FountainAlex WheelerJoel Cain,66.0,116.3
My Fair Lady,7.7,1964,G,Drama,George Cukor,Audrey Hepburn,95.0,170.0
The Killing of a Sacred Deer,7.0,2017,R,Drama,Yorgos Lanthimos,Barry G. BernsonHerb CaillouetBill Camp,73.0,121.0
An American Tail: Fievel Goes West,6.5,1991,G,Animation,Phil Nibbelink,James Stewart,57.1,75.0
Black Beauty,6.6,1994,G,Adventure,Caroline Thompson,Sean Bean,57.1,88.0
Fire of Love,7.6,2022,PG,Documentary,Sara Dosa,Sara DosaErin CasperJocelyne Chaput,84.0,98.0
Sgt. Stubby: An American Hero,6.9,2018,PG,Animation,Richard Lanni,Logan LermanHelena Bonham CarterGérard Depardieu,58.0,84.0
Oliver & Company,6.6,1988,G,Animation,George Scribner,Joey Lawrence,58.0,74.0
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75.0,93.0
