mpg,cylinders,displacement,horsepower,weight,acceleration
23.0,4,115,95.0,2694,15.0
23.0,4,120,88.0,2957,17.0
22.0,4,121,98.0,2945,14.5
25.0,4,121,115.0,2671,13.5
33.0,4,91,53.0,1795,17.5
28.0,4,107,86.0,2464,15.5
25.0,4,116,81.0,2220,16.9
25.0,4,140,92.0,2572,14.9
26.0,4,98,79.0,2255,17.7
27.0,4,101,83.0,2202,15.3
17.5,8,305,140.0,4215,13.0
16.0,8,318,150.0,4190,13.0
15.5,8,304,120.0,3962,13.9
14.5,8,351,152.0,4215,12.8
22.0,6,225,100.0,3233,15.4
22.0,6,250,105.0,3353,14.5
24.0,6,200,81.0,3012,17.6
22.5,6,232,90.0,3085,17.6
29.0,4,85,52.0,2035,22.2
24.5,4,98,60.0,2164,22.1
29.0,4,90,70.0,1937,14.2
33.0,4,91,53.0,1795,17.4
20.0,6,225,100.0,3651,17.7
18.0,6,250,78.0,3574,21.0
18.5,6,250,110.0,3645,16.2
17.5,6,258,95.0,3193,17.8
29.5,4,97,71.0,1825,12.2
32.0,4,85,70.0,1990,17.0
28.0,4,97,75.0,2155,16.4
26.5,4,140,72.0,2565,13.6
20.0,4,130,102.0,3150,15.7
13.0,8,318,150.0,3940,13.2
19.0,4,120,88.0,3270,21.9
19.0,6,156,108.0,2930,15.5
16.5,6,168,120.0,3820,16.7
16.5,8,350,180.0,4380,12.1
13.0,8,350,145.0,4055,12.0
13.0,8,302,130.0,3870,15.0
13.0,8,318,150.0,3755,14.0
31.5,4,98,68.0,2045,18.5
30.0,4,111,80.0,2155,14.8
36.0,4,79,58.0,1825,18.6
25.5,4,122,96.0,2300,15.5
33.5,4,85,70.0,1945,16.8
17.5,8,305,145.0,3880,12.5
17.0,8,260,110.0,4060,19.0
15.5,8,318,145.0,4140,13.7
15.0,8,302,130.0,4295,14.9
17.5,6,250,110.0,3520,16.4
20.5,6,231,105.0,3425,16.9
19.0,6,225,100.0,3630,17.7
18.5,6,250,98.0,3525,19.0
16.0,8,400,180.0,4220,11.1
15.5,8,350,170.0,4165,11.4
15.5,8,400,190.0,4325,12.2
16.0,8,351,149.0,4335,14.5
29.0,4,97,78.0,1940,14.5
24.5,4,151,88.0,2740,16.0
26.0,4,97,75.0,2265,18.2
25.5,4,140,89.0,2755,15.8
30.5,4,98,63.0,2051,17.0
33.5,4,98,83.0,2075,15.9
30.0,4,97,67.0,1985,16.4
30.5,4,97,78.0,2190,14.1
22.0,6,146,97.0,2815,14.5
21.5,4,121,110.0,2600,12.8
21.5,3,80,110.0,2720,13.5
43.1,4,90,48.0,1985,21.5
36.1,4,98,66.0,1800,14.4
32.8,4,78,52.0,1985,19.4
39.4,4,85,70.0,2070,18.6
36.1,4,91,60.0,1800,16.4
19.9,8,260,110.0,3365,15.5
19.4,8,318,140.0,3735,13.2
20.2,8,302,139.0,3570,12.8
19.2,6,231,105.0,3535,19.2
20.5,6,200,95.0,3155,18.2
20.2,6,200,85.0,2965,15.8
25.1,4,140,88.0,2720,15.4
20.5,6,225,100.0,3430,17.2
19.4,6,232,90.0,3210,17.2
20.6,6,231,105.0,3380,15.8
20.8,6,200,85.0,3070,16.7
18.6,6,225,110.0,3620,18.7
18.1,6,258,120.0,3410,15.1
19.2,8,305,145.0,3425,13.2
17.7,6,231,165.0,3445,13.4
18.1,8,302,139.0,3205,11.2
17.5,8,318,140.0,4080,13.7
30.0,4,98,68.0,2155,16.5
27.5,4,134,95.0,2560,14.2
27.2,4,119,97.0,2300,14.7
30.9,4,105,75.0,2230,14.5
21.1,4,134,95.0,2515,14.8
23.2,4,156,105.0,2745,16.7
23.8,4,151,85.0,2855,17.6
23.9,4,119,97.0,2405,14.9
20.3,5,131,103.0,2830,15.9
17.0,6,163,125.0,3140,13.6
21.6,4,121,115.0,2795,15.7
16.2,6,163,133.0,3410,15.8
31.5,4,89,71.0,1990,14.9
29.5,4,98,68.0,2135,16.6
21.5,6,231,115.0,3245,15.4
19.8,6,200,85.0,2990,18.2
22.3,4,140,88.0,2890,17.3
20.2,6,232,90.0,3265,18.2
20.6,6,225,110.0,3360,16.6
17.0,8,305,130.0,3840,15.4
17.6,8,302,129.0,3725,13.4
16.5,8,351,138.0,3955,13.2
18.2,8,318,135.0,3830,15.2
16.9,8,350,155.0,4360,14.9
15.5,8,351,142.0,4054,14.3
19.2,8,267,125.0,3605,15.0
18.5,8,360,150.0,3940,13.0
31.9,4,89,71.0,1925,14.0
34.1,4,86,65.0,1975,15.2
35.7,4,98,80.0,1915,14.4
27.4,4,121,80.0,2670,15.0
25.4,5,183,77.0,3530,20.1
23.0,8,350,125.0,3900,17.4
27.2,4,141,71.0,3190,24.8
23.9,8,260,90.0,3420,22.2
34.2,4,105,70.0,2200,13.2
34.5,4,105,70.0,2150,14.9
31.8,4,85,65.0,2020,19.2
37.3,4,91,69.0,2130,14.7
28.4,4,151,90.0,2670,16.0
28.8,6,173,115.0,2595,11.3
26.8,6,173,115.0,2700,12.9
33.5,4,151,90.0,2556,13.2
41.5,4,98,76.0,2144,14.7
38.1,4,89,60.0,1968,18.8
32.1,4,98,70.0,2120,15.5
37.2,4,86,65.0,2019,16.4
28.0,4,151,90.0,2678,16.5
26.4,4,140,88.0,2870,18.1
24.3,4,151,90.0,3003,20.1
19.1,6,225,90.0,3381,18.7
34.3,4,97,78.0,2188,15.8
29.8,4,134,90.0,2711,15.5
31.3,4,120,75.0,2542,17.5
37.0,4,119,92.0,2434,15.0
32.2,4,108,75.0,2265,15.2
46.6,4,86,65.0,2110,17.9
27.9,4,156,105.0,2800,14.4
40.8,4,85,65.0,2110,19.2
44.3,4,90,48.0,2085,21.7
43.4,4,90,48.0,2335,23.7
36.4,5,121,67.0,2950,19.9
30.0,4,146,67.0,3250,21.8
44.6,4,91,67.0,1850,13.8
40.9,4,85,,1835,17.3
33.8,4,97,67.0,2145,18.0
29.8,4,89,62.0,1845,15.3
32.7,6,168,132.0,2910,11.4
23.7,3,70,100.0,2420,12.5
35.0,4,122,88.0,2500,15.1
23.6,4,140,,2905,14.3
32.4,4,107,72.0,2290,17.0
27.2,4,135,84.0,2490,15.7
26.6,4,151,84.0,2635,16.4
25.8,4,156,92.0,2620,14.4
23.5,6,173,110.0,2725,12.6
30.0,4,135,84.0,2385,12.9
39.1,4,79,58.0,1755,16.9
39.0,4,86,64.0,1875,16.4
35.1,4,81,60.0,1760,16.1
32.3,4,97,67.0,2065,17.8
37.0,4,85,65.0,1975,19.4
37.7,4,89,62.0,2050,17.3
34.1,4,91,68.0,1985,16.0
34.7,4,105,63.0,2215,14.9
34.4,4,98,65.0,2045,16.2
29.9,4,98,65.0,2380,20.7
33.0,4,105,74.0,2190,14.2
34.5,4,100,,2320,15.8
33.7,4,107,75.0,2210,14.4
32.4,4,108,75.0,2350,16.8
32.9,4,119,100.0,2615,14.8
31.6,4,120,74.0,2635,18.3
28.1,4,141,80.0,3230,20.4
30.7,6,145,76.0,3160,19.6
25.4,6,168,116.0,2900,12.6
24.2,6,146,120.0,2930,13.8
22.4,6,231,110.0,3415,15.8
26.6,8,350,105.0,3725,19.0
20.2,6,200,88.0,3060,17.1
17.6,6,225,85.0,3465,16.6
28.0,4,112,88.0,2605,19.6
27.0,4,112,88.0,2640,18.6
34.0,4,112,88.0,2395,18.0
31.0,4,112,85.0,2575,16.2
29.0,4,135,84.0,2525,16.0
27.0,4,151,90.0,2735,18.0
24.0,4,140,92.0,2865,16.4
23.0,4,151,,3035,20.5
36.0,4,105,74.0,1980,15.3
37.0,4,91,68.0,2025,18.2
31.0,4,91,68.0,1970,17.6
38.0,4,105,63.0,2125,14.7
36.0,4,98,70.0,2125,17.3
36.0,4,120,88.0,2160,14.5
36.0,4,107,75.0,2205,14.5
34.0,4,108,70.0,2245,16.9
38.0,4,91,67.0,1965,15.0
32.0,4,91,67.0,1965,15.7
38.0,4,91,67.0,1995,16.2
25.0,6,181,110.0,2945,16.4
38.0,6,262,85.0,3015,17.0
26.0,4,156,92.0,2585,14.5
22.0,6,232,112.0,2835,14.7
32.0,4,144,96.0,2665,13.9
36.0,4,135,84.0,2370,13.0
27.0,4,151,90.0,2950,17.3
27.0,4,140,86.0,2790,15.6
44.0,4,97,52.0,2130,24.6
32.0,4,135,84.0,2295,11.6
28.0,4,120,79.0,2625,18.6
31.0,4,119,82.0,2720,19.4
