Vehicle ID,Speed (mph),Mass (kg)
OD26,68.2,2441.79
SB45,31.2,2358.03
KF49,73.6,1293.69
PS87,52.4,1104.04
JA37,68.4,1151.17
WY47,73.8,1027.33
OP22,39.1,1141.66
LA36,26.6,2024.51
KE41,33.7,1106.78
QA35,45.6,1478.46
AQ14,69.1,2267.31
BJ23,71.6,1034.91
TJ78,20.4,2221.7
GC05,50.6,1422.78
ZJ67,45.0,1177.25
QT91,33.3,2045.11
AD16,27.2,1943.41
OF67,40.3,2316.21
EP71,76.6,2102.61
VZ10,39.4,2205.22
IR93,51.1,1423.05
SB66,62.2,1266.16
CU86,41.8,2125.92
DZ73,78.3,2210.25
LJ53,77.7,2485.76
WV19,35.1,1618.93
QV74,49.8,1558.03
TZ28,38.1,2164.62
NM47,37.1,1511.21
GW80,22.2,2396.14
WG46,56.6,2287.62
JA81,50.2,1643.49
FU38,23.1,2126.31
SH09,36.7,2131.81
CS47,74.5,1154.69
RQ47,34.4,2353.83
CF63,28.7,1757.88
PM54,49.4,2239.69
TI72,79.1,1480.07
GD11,34.5,2343.28
NT12,60.3,1583.8
MS95,65.7,1016.26
HC12,34.3,2358.07
EA52,63.7,1136.93
ZO61,42.1,1478.97
WM85,57.9,2425.09
ML10,58.0,2425.91
YM84,52.1,1860.16
BQ01,25.4,1947.76
OH91,70.1,1672.67
TP72,39.2,1439.82
NL48,31.2,1493.0
ZH66,22.4,2008.78
TY22,55.5,2128.56
RE10,60.7,2187.37
AL52,21.0,2184.43
GS74,50.7,1136.81
RY76,33.6,1741.63
RY45,58.7,1086.34
QX80,30.5,1824.29
EH75,61.5,1662.3
HD66,43.2,2331.56
YN40,76.2,1526.37
BL32,28.3,1175.6
CZ85,40.5,1214.49
YZ62,26.8,2142.27
BT46,75.5,1927.33
XE56,72.6,1151.68
MC33,35.5,1126.16
RW36,59.6,2051.45
HY85,69.0,1109.14
LI39,53.3,2232.79
KN96,51.8,2059.36
OK13,34.5,1122.02
TQ72,25.6,1127.26
OY46,73.8,2479.96
DZ62,74.0,1561.41
EO50,58.0,1555.96
ZX41,40.3,2219.2
VM75,41.0,2420.87
HV92,63.6,2479.0
OJ95,73.8,2130.07
WW27,73.2,1564.39
KY58,66.8,1125.25
HH59,58.5,2165.72
MD53,25.0,1837.61
OO43,29.7,1636.33
ES52,73.9,2359.53
UB77,56.4,1166.8
VK68,20.6,1738.94
ZM05,26.1,1017.03
PW84,59.8,1702.99
NL74,20.3,1084.45
RE49,29.6,1178.23
IS68,52.9,1176.29
WW33,61.5,1973.82
ST80,59.1,2119.07
BQ99,33.5,1875.05
TL06,62.7,2443.26
WL69,34.2,1562.31
BU23,39.5,1428.57
DN57,64.8,2302.9
EC86,59.0,1335.39
GX14,71.0,2444.83
GG08,59.5,1018.23
XR14,54.1,2454.82
IP64,25.6,1064.74
GV13,42.1,2336.71
MG55,35.9,1791.55
ZH96,34.6,2489.45
HO67,78.4,1110.69
BP49,43.6,1830.78
HU63,73.5,2453.95
QQ67,57.9,1784.65
RV69,67.7,1944.1
QI45,50.2,2043.62
TC27,54.6,1681.81
ED59,49.6,1941.34
NX82,31.7,1876.47
VM87,63.3,2351.74
IC91,36.8,1068.17
ZW79,21.5,1421.44
ZU37,58.7,2425.62
AN46,30.6,2335.4
RP89,76.4,1683.49
CG08,77.2,1930.2
OX20,74.9,1416.07
VX34,42.2,1282.18
DY34,20.9,1695.55
CX14,75.7,1530.03
RT94,45.7,1875.48
TE40,78.0,1116.6
MK90,77.8,2461.59
JL98,71.2,2479.32
